-1.400000 	 -nan 	 -nan	318.309886
-1.390000 	 -nan 	 -nan	318.309886
-1.380000 	 -nan 	 -nan	318.309886
-1.370000 	 -nan 	 -nan	318.309886
-1.360000 	 -nan 	 -nan	318.309886
-1.350000 	 -nan 	 -nan	318.309886
-1.340000 	 -nan 	 -nan	318.309886
-1.330000 	 -nan 	 -nan	318.309886
-1.320000 	 -nan 	 -nan	318.309886
-1.310000 	 -nan 	 -nan	318.309886
-1.300000 	 -nan 	 -nan	318.309886
-1.290000 	 -nan 	 -nan	318.309886
-1.280000 	 -nan 	 -nan	318.309886
-1.270000 	 -nan 	 -nan	318.309886
-1.260000 	 -nan 	 -nan	318.309886
-1.250000 	 -nan 	 -nan	318.309886
-1.240000 	 -nan 	 -nan	318.309886
-1.230000 	 -nan 	 -nan	318.309886
-1.220000 	 -nan 	 -nan	318.309886
-1.210000 	 -nan 	 -nan	318.309886
-1.200000 	 -nan 	 -nan	318.309886
-1.190000 	 -nan 	 -nan	318.309886
-1.180000 	 -nan 	 -nan	318.309886
-1.170000 	 -nan 	 -nan	318.309886
-1.160000 	 -nan 	 -nan	318.309886
-1.150000 	 -nan 	 -nan	318.309886
-1.140000 	 -nan 	 -nan	318.309886
-1.130000 	 -nan 	 -nan	318.309886
-1.120000 	 -nan 	 -nan	318.309886
-1.110000 	 -nan 	 -nan	318.309886
-1.100000 	 -nan 	 -nan	318.309886
-1.090000 	 -nan 	 -nan	318.309886
-1.080000 	 -nan 	 -nan	318.309886
-1.070000 	 -nan 	 -nan	318.309886
-1.060000 	 -nan 	 -nan	318.309886
-1.050000 	 -nan 	 -nan	318.309886
-1.040000 	 -nan 	 -nan	318.309886
-1.030000 	 -nan 	 -nan	318.309886
-1.020000 	 -nan 	 -nan	318.309886
-1.010000 	 -nan 	 -nan	318.309886
-1.000000 	 -nan 	 -nan	318.309886
-0.990000 	 -nan 	 -nan	318.309886
-0.980000 	 -nan 	 -nan	318.309886
-0.970000 	 -nan 	 -nan	318.309886
-0.960000 	 -nan 	 -nan	318.309886
-0.950000 	 -nan 	 -nan	318.309886
-0.940000 	 -nan 	 -nan	318.309886
-0.930000 	 -nan 	 -nan	318.309886
-0.920000 	 -nan 	 -nan	318.309886
-0.910000 	 -nan 	 -nan	318.309886
-0.900000 	 -nan 	 -nan	318.309886
-0.890000 	 -nan 	 -nan	318.309886
-0.880000 	 -nan 	 -nan	318.309886
-0.870000 	 -nan 	 -nan	318.309886
-0.860000 	 -nan 	 -nan	318.309886
-0.850000 	 -nan 	 -nan	318.309886
-0.840000 	 -nan 	 -nan	318.309886
-0.830000 	 -nan 	 -nan	318.309886
-0.820000 	 -nan 	 -nan	318.309886
-0.810000 	 -nan 	 -nan	318.309886
-0.800000 	 -nan 	 -nan	318.309886
-0.790000 	 -nan 	 -nan	318.309886
-0.780000 	 -nan 	 -nan	318.309886
-0.770000 	 -nan 	 -nan	318.309886
-0.760000 	 -nan 	 -nan	318.309886
-0.750000 	 -nan 	 -nan	318.309886
-0.740000 	 -nan 	 -nan	318.309886
-0.730000 	 -nan 	 -nan	318.309886
-0.720000 	 -nan 	 -nan	318.309886
-0.710000 	 -nan 	 -nan	318.309886
-0.700000 	 -nan 	 -nan	318.309886
-0.690000 	 -nan 	 -nan	318.309886
-0.680000 	 -nan 	 -nan	318.309886
-0.670000 	 -nan 	 -nan	318.309886
-0.660000 	 -nan 	 -nan	318.309886
-0.650000 	 -nan 	 -nan	318.309886
-0.640000 	 -nan 	 -nan	318.309886
-0.630000 	 -nan 	 -nan	318.309886
-0.620000 	 -nan 	 -nan	318.309886
-0.610000 	 -nan 	 -nan	318.309886
-0.600000 	 -nan 	 -nan	318.309886
-0.590000 	 -nan 	 -nan	318.309886
-0.580000 	 -nan 	 -nan	318.309886
-0.570000 	 -nan 	 -nan	318.309886
-0.560000 	 -nan 	 -nan	318.309886
-0.550000 	 -nan 	 -nan	318.309886
-0.540000 	 -nan 	 -nan	318.309886
-0.530000 	 -nan 	 -nan	318.309886
-0.520000 	 -nan 	 -nan	318.309886
-0.510000 	 -nan 	 -nan	318.309886
-0.500000 	 -nan 	 -nan	318.309886
-0.490000 	 -nan 	 -nan	318.309886
-0.480000 	 -nan 	 -nan	318.309886
-0.470000 	 -nan 	 -nan	318.309886
-0.460000 	 -nan 	 -nan	318.309886
-0.450000 	 -nan 	 -nan	318.309886
-0.440000 	 -nan 	 -nan	318.309886
-0.430000 	 -nan 	 -nan	318.309886
-0.420000 	 -nan 	 -nan	318.309886
-0.410000 	 -nan 	 -nan	318.309886
-0.400000 	 -nan 	 -nan	318.309886
-0.390000 	 -nan 	 -nan	318.309886
-0.380000 	 -nan 	 -nan	318.309886
-0.370000 	 -nan 	 -nan	318.309886
-0.360000 	 -nan 	 -nan	318.309886
-0.350000 	 -nan 	 -nan	318.309886
-0.340000 	 -nan 	 -nan	318.309886
-0.330000 	 -nan 	 -nan	318.309886
-0.320000 	 -nan 	 -nan	318.309886
-0.310000 	 -nan 	 -nan	318.309886
-0.300000 	 -nan 	 -nan	318.309886
-0.290000 	 -nan 	 -nan	318.309886
-0.280000 	 -nan 	 -nan	318.309886
-0.270000 	 -nan 	 -nan	318.309886
-0.260000 	 -nan 	 -nan	318.309886
-0.250000 	 -nan 	 -nan	318.309886
-0.240000 	 -nan 	 -nan	318.309886
-0.230000 	 -nan 	 -nan	318.309886
-0.220000 	 -nan 	 -nan	318.309886
-0.210000 	 -nan 	 -nan	318.309886
-0.200000 	 -nan 	 -nan	318.309886
-0.190000 	 -nan 	 -nan	318.309886
-0.180000 	 -nan 	 -nan	318.309886
-0.170000 	 -nan 	 -nan	318.309886
-0.160000 	 -nan 	 -nan	318.309886
-0.150000 	 -nan 	 -nan	318.309886
-0.140000 	 -nan 	 -nan	318.309886
-0.130000 	 -nan 	 -nan	318.309886
-0.120000 	 -nan 	 -nan	318.309886
-0.110000 	 -nan 	 -nan	318.309886
-0.100000 	 -nan 	 -nan	318.309886
-0.090000 	 -nan 	 -nan	318.309886
-0.080000 	 -nan 	 -nan	318.309886
-0.070000 	 -nan 	 -nan	318.309886
